id,question,slug,start_date,end_date,volume,liquidity,active,closed
75,"Will the Ethereum 2.0 Genesis Event happen successfully on December 1st, 2020?",will-the-ethereum-20-genesis-event-happen-successfully-on-december-1st-2020,,2020-12-02 00:00:00+00:00,560270.420000000041909515857696533203125,7.87999999999999989341858963598497211933135986328125,True,True
8938,"Will ETH be above $1,500 on January 27th?",will-eth-be-above-1-500-on-january-27th,,2021-01-28 00:00:00+00:00,759196.23999999999068677425384521484375,0,True,True
61328,"Will ETH be above $1500 on February 3rd, 2021?",will-eth-be-above-1500-on-february-3rd-2021,,2021-02-03 00:00:00+00:00,685915.4799999999813735485076904296875,0.01000000000000000020816681711721685132943093776702880859375,True,True
71914,"Will ETH be above $2000 on March 1st, 2021?",will-eth-be-above-2000-on-march-1st-2021,,2021-03-01 00:00:00+00:00,747989.599999999976716935634613037109375,20.480000000000000426325641456060111522674560546875,True,True
79704,Will the average Ethereum gas price be below 165 Gwei on February 16?,will-the-average-ethereum-gas-price-be-below-165-gwei-on-february-16,,2021-02-16 00:00:00+00:00,94610.610000000000582076609134674072265625,1,True,True
98033,"Will ETH be above $2000 on April 1st, 2021?",will-eth-be-above-2000-on-april-1st-2021,,2021-04-01 00:00:00+00:00,200394.98999999999068677425384521484375,0,True,True
98685,"Will ETH be above $1500 on March 7th, 2021?",will-eth-be-above-1500-on-march-7th-2021,,2021-03-07 00:00:00+00:00,451637.390000000013969838619232177734375,1.6799999999999999378275106209912337362766265869140625,True,True
101793,"Will ETH be above $1750 on March 22nd, 2021?",will-eth-be-above-1750-on-march-22nd-2021-1,,2021-03-22 00:00:00+00:00,354495.5,100.0400000000000062527760746888816356658935546875,True,True
101817,Will the average Ethereum gas price be below 130 Gwei on March 20?,will-the-average-ethereum-gas-price-be-below-130-gwei-on-march-20,,2021-03-20 00:00:00+00:00,22745.0699999999997089616954326629638671875,655.1399999999999863575794734060764312744140625,True,True
107931,Will the average Ethereum gas price be below 150 Gwei on April 5?,will-the-average-ethereum-gas-price-be-below-150-gwei-on-april-5,,2021-04-05 00:00:00+00:00,53373.66000000000349245965480804443359375,998,True,True
118045,Will the average Ethereum gas price be below 170 Gwei on April 19?,will-the-average-ethereum-gas-price-be-below-170-gwei-on-april-19,,2021-04-19 00:00:00+00:00,22883.31000000000130967237055301666259765625,143.81999999999999317878973670303821563720703125,True,True
125038,"Will Binance Coin (BNB) have a higher market cap than Ethereum (ETH) at any time before July 1, 2021?",will-binance-coin-bnb-have-a-higher-market-cap-than-ethereum-eth-at-any-time-before-july-1-2021,,2021-07-01 00:00:00+00:00,6965.52000000000043655745685100555419921875,799.6100000000000136424205265939235687255859375,True,True
142028,"Will the average Ethereum gas price be below 150 Gwei on May 4, 2021?",will-the-average-ethereum-gas-price-be-below-150-gwei-on-may-4-2021,,2021-05-04 00:00:00+00:00,10166.5699999999997089616954326629638671875,0,True,True
201776,Will Tesla announce that it has bought Ethereum by July 25?,will-tesla-announce-that-it-has-bought-ethereum-by-july-25,,2021-07-26 00:00:00+00:00,10484.79999999999927240423858165740966796875,1512.509999999999990905052982270717620849609375,True,True
215348,What will the price of $ETH be on June 22?,what-will-the-price-of-eth-be-on-june-22,,2021-06-22 00:00:00+00:00,1361588.13999999989755451679229736328125,99674.14999999999417923390865325927734375,True,True
222356,Will $ETH (Ethereum) be above $2500 on July 22?,will-eth-ethereum-be-above-2500-on-july-22,,2021-07-22 00:00:00+00:00,71080.369999999995343387126922607421875,0,True,True
222641,"Will EIP-1559 be implemented on the Ethereum mainnet before August 5, 2021?",will-eip-1559-be-implemented-on-the-ethereum-mainnet-before-august-5-2021,,2021-08-05 00:00:00+00:00,1729033.09000000008381903171539306640625,494.30000000000001136868377216160297393798828125,True,True
222995,What will the price of $ETH be on July 19?,what-will-the-price-of-eth-be-on-july-19,,2021-07-19 00:00:00+00:00,206689.98999999999068677425384521484375,0,True,True
224612,Will the floor price of CryptoPunks be below 19.5 ETH on August 10? ,will-the-floor-price-of-cryptopunks-be-below-195-eth-on-august-10,,2021-08-10 00:00:00+00:00,41077.330000000001746229827404022216796875,0,True,True
225509,"Will EIP-1559 be implemented live on Ethereum mainnet by 10 AM ET on August 5, 2021?",will-eip-1559-be-implemented-on-the-ethereum-mainnet-by-10am-aug5,2021-07-26 16:32:51.117000+00:00,2021-08-05 00:00:00+00:00,210239.42000000001280568540096282958984375,5199.02000000000043655745685100555419921875,True,True
226967,What will the price of $ETH be on August 11?,what-will-the-price-of-eth-be-on-august-11,2021-07-29 18:59:11.506000+00:00,2021-08-11 00:00:00+00:00,31961.6500000000014551915228366851806640625,0,True,True
228764,"Will EIP-1559 be implemented live on Ethereum mainnet by 8:45 AM ET on August 5, 2021?",will-eip-1559-be-implemented-live-on-ethereum-mainnet-by-845-am-et-on-august-5-2021,2021-08-05 01:12:42.945000+00:00,2021-08-05 00:00:00+00:00,6766.4499999999998181010596454143524169921875,1000.3600000000000136424205265939235687255859375,True,True
231441,How much ETH will be burned one month after EIP-1559 was implemented?,how-much-eth-will-be-burned-one-month-after-eip-1559-was-implemented,2021-08-09 20:32:57.489000+00:00,2021-09-05 00:00:00+00:00,15984.389999999999417923390865325927734375,299,True,True
