id,question,slug,start_date,end_date,volume,liquidity,active,closed,yes_percentage,no_percentage,outcome_details,total_volume,total_liquidity,end_date_iso,volume_24hr,spread,one_day_price_change,last_trade_price,bestBid,bestAsk
222995,What will the price of $ETH be on July 19?,what-will-the-price-of-eth-be-on-july-19,,,,,True,True,,,Long: 41.27% | Short: 58.73%,206689.99,0,2021-07-19,0,1,0,0,0,1
224612,Will the floor price of CryptoPunks be below 19.5 ETH on August 10? ,will-the-floor-price-of-cryptopunks-be-below-195-eth-on-august-10,,,,,True,True,0.1692047377326565,99.83079526226734,Yes: 0.17% | No: 99.83%,41077.33,0,2021-08-10,0,1,0,0,0,1
225509,"Will EIP-1559 be implemented live on Ethereum mainnet by 10 AM ET on August 5, 2021?",will-eip-1559-be-implemented-on-the-ethereum-mainnet-by-10am-aug5,,,,,True,True,99.99999429294132,5.707058685965026e-06,Yes: 100.00% | No: 0.00%,210239.42,5199.02,2021-08-05,0,1,0,0,0,1
226967,What will the price of $ETH be on August 11?,what-will-the-price-of-eth-be-on-august-11,,,,,True,True,,,Long: 71.99% | Short: 28.01%,31961.65,0,2021-08-11,0,1,0,0,0,1
228764,"Will EIP-1559 be implemented live on Ethereum mainnet by 8:45 AM ET on August 5, 2021?",will-eip-1559-be-implemented-live-on-ethereum-mainnet-by-845-am-et-on-august-5-2021,,,,,True,True,99.99999951375564,4.862443710613341e-07,Yes: 100.00% | No: 0.00%,6766.45,1000.36,2021-08-05,0,1,0,0,0,1
231441,How much ETH will be burned one month after EIP-1559 was implemented?,how-much-eth-will-be-burned-one-month-after-eip-1559-was-implemented,,,,,True,True,,,Long: 77.42% | Short: 22.58%,15984.39,299,2021-09-05,0,1,0,0,0,1
236507,"Will Ethereum switch to Proof-of-Stake (EIP-3675) by February 22, 2022?",will-ethereum-switch-to-proof-of-stake-eip-3675-by-february-22-2022,,,,,True,True,4.366054564388016,95.63394543561199,Yes: 4.37% | No: 95.63%,75039.22,552.43,2022-02-22,0,1,0,0,0,1
238643,Will the floor price of CryptoPunks be above 100 ETH on October 1?,will-the-floor-price-of-cryptopunks-be-above-100-eth-on-october-1,,,,,True,True,99.99997648439123,2.3515608772491528e-05,Yes: 100.00% | No: 0.00%,650550.28,173.24,2021-10-01,0,1,0,0,0,1
238698,Will Theranos executive Elizabeth Holmes be found guilty of fraud?,will-theranos-exec-elizabeth-holmes-be-found-guilty-of-fraud,,,,,True,True,99.99998056472518,1.9435274826718277e-05,Yes: 100.00% | No: 0.00%,38757.57,556.65,,0,1,0,0,0,1
238712,"What will the ETH floor price of Bored Apes be on September 21, 2021?",what-will-the-floor-price-of-bored-apes-be-on-september-21-2021,,,,,True,True,,,Long: 39.69% | Short: 60.31%,57987.67,1.91,2021-09-21,0,1,0,0,0,1
238713,"What will the ETH floor price of CryptoPunks be on September 21, 2021?",what-will-the-floor-price-of-cryptopunks-be-on-october-1-2021,,,,,True,True,,,Long: 46.16% | Short: 53.84%,83509.98,3.62,2021-09-21,0,1,0,0,0,1
238714,"What will the ETH floor price of Loot (for Adventurers) be on September 21, 2021?",what-will-the-floor-price-of-loot-for-adventurers-be-on-september-21-2021,,,,,True,True,,,Long: 11.95% | Short: 88.05%,120866.01,0.01,2021-09-21,0,1,0,0,0,1
238715,"What will the ETH floor price of Blitmaps be on September 21, 2021?",what-will-the-floor-price-of-blitmaps-be-on-september-21-2021,,,,,True,True,,,Long: 0.00% | Short: 100.00%,72461.59,988.69,2021-09-21,0,1,0,0,0,1
238820,"What will the ETH floor price of Bored Apes be on October 1, 2021?",what-will-the-eth-floor-price-of-bored-apes-be-on-october-1-2021,,,,,True,True,,,Long: 49.59% | Short: 50.41%,8037.61,399,2021-10-01,0,1,0,0,0,1
238822,"What will the ETH floor price of CryptoPunks be on October 1, 2021?",what-will-the-eth-floor-price-of-cryptopunks-be-on-october-1-2021,,,,,True,True,,,Long: 73.98% | Short: 26.02%,74385.28,399,2021-10-01,0,1,0,0,0,1
238927,Will the floor price of CryptoPunks be above 120 ETH on October 15?,will-the-floor-price-of-cryptopunks-be-above-120-eth-on-october-15,,,,,True,True,2.359485802820169e-05,99.99997640514198,Yes: 0.00% | No: 100.00%,86203.09,289.37,2021-10-15,0,1,0,0,0,1
238990,"Will Tether lose its peg by November 30, 2021?",will-tether-lose-its-peg-by-november-30-2021,,,,,True,True,0.00013894896087906215,99.99986105103912,Yes: 0.00% | No: 100.00%,8625.79,49.69,2021-11-30,0,1,0,0,0,1
238994,Will the floor price of CryptoPunks be above 100 ETH on November 1?,will-the-floor-price-of-cryptopunks-be-above-100-eth-on-november-1,,,,,True,True,2.1897464736696836e-05,99.99997810253525,Yes: 0.00% | No: 100.00%,414785.27,92.05,2021-11-01,0,1,0,0,0,1
239015,Will @richerd sell Cryptopunk 6046 for 2500 ETH or more by October 22nd?,will-richerd-sell-cryptopunk-6046-for-at-least-2500eth-by-october-22nd,,,,,True,True,1.5171906805263436e-05,99.99998482809319,Yes: 0.00% | No: 100.00%,2551.17,1214.09,2021-10-22,0,1,0,0,0,1
239074,Will Ethereum reach $4500 by November 11th?,will-ethereum-reach-4500-by-november-11th,,,,,True,True,99.99998965384388,1.0346156120210083e-05,Yes: 100.00% | No: 0.00%,135700.36,297.58,2021-11-11,0,1,0,0,0,1
239138,"Will there be 750,000 or more total ETH burned before November 4th, 2021?",will-there-be-750000-or-more-total-eth-burned-before-november-4th-2021,,,,,True,True,99.9999832054982,1.6794501800921045e-05,Yes: 100.00% | No: 0.00%,13932.58,869.28,2021-11-03,0,1,0,0,0,1
